ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00353.nc,input_00353,b921afb88b1f,860,8292,0.0,1121.111572265625,-1.987548828125,8.2724609375,0.0,1243.65186,0.6037688851356506,10.810811042785645,155.4639321816927,319.7582367914217,True,62,10.865
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00360.nc,input_00360,39fd874f264f,750,7837,0.0,1183.574462890625,-2.8916015625,8.16937255859375,0.0,1175.47571,0.2882523536682129,12.903225898742676,146.93772511426238,387.1505344034428,True,62,8.526
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00368.nc,input_00368,0f0bc14f0100,877,8104,0.0,1048.912109375,-2.810546875,8.35345458984375,0.0,1215.50427,0.6579617261886597,10.0,151.94478729402726,293.3601185090381,True,62,11.109
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00373.nc,input_00373,dcae510c1485,862,8279,0.0,1123.7218017578125,-2.67486572265625,8.31414794921875,0.0,1241.71606,1.3365604877471924,10.810811042785645,155.232732531282,319.7582367914217,True,62,11.612
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00374.nc,input_00374,a7050bc0e7ff,926,8395,0.0,1107.5841064453125,-2.272705078125,8.39532470703125,0.0,1259.12781,0.926548957824707,10.0,157.3964023029558,293.3601185090381,True,62,12.787
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00377.nc,input_00377,2e307540ce75,784,7630,0.0,1120.4649658203125,0.0513916015625,9.08135986328125,0.0,1144.37952,1.380056381225586,11.764705657958984,143.05456993331177,350.59248015198995,True,62,9.947
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00378.nc,input_00378,b4500946fd71,817,8015,0.0,1167.6876220703125,-1.89154052734375,8.814453125,0.0,1202.14856,0.9952216744422913,11.764705657958984,150.28192102123137,350.59248015198995,True,62,10.701
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00381.nc,input_00381,529147d9c841,1374,9287,0.0,881.0902709960938,-1.893798828125,8.313232421875,0.0,1392.91602,0.8929947018623352,5.970149040222168,174.12393407070954,157.22295224239454,True,62,20.58
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00414.nc,input_00414,cfb1f34b53c4,716,7834,0.0,1258.6104736328125,-2.473388671875,7.51666259765625,0.0,1175.00305,0.5551040172576904,14.285714149475098,146.89141801558964,431.2721193856537,True,62,8.389
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00415.nc,input_00415,71cb47456ddd,854,8172,0.0,1113.28076171875,-2.93499755859375,8.52801513671875,0.0,1225.68274,0.5968343615531921,10.810811042785645,153.2120877077939,319.7582367914217,True,62,10.895
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00429.nc,input_00429,036a35cc545b,908,8595,0.0,1086.0311279296875,-3.66265869140625,7.600341796875,0.0,1289.1145,0.4544552266597748,10.0,161.14084841640974,293.3601185090381,True,62,11.817
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00430.nc,input_00430,92cda30aa31b,1046,9327,0.0,1153.6376953125,-6.82421875,7.96539306640625,0.0,1398.93176,1.1997618675231934,9.302325248718262,174.86843328686857,270.4700892441342,True,62,15.615
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00431.nc,input_00431,370433020165,734,7872,0.0,1290.2957763671875,-2.1605224609375,8.59820556640625,0.0,1180.69958,0.9837599396705627,14.285714149475098,147.6025483914362,431.2721193856537,True,62,9.232
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00433.nc,input_00433,ffe134bf075a,1019,9263,0.0,1218.9412841796875,-5.97802734375,8.56396484375,0.0,1389.30591,0.6824868321418762,10.0,173.67845850710873,293.3601185090381,True,62,14.493
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00437.nc,input_00437,21dbb60da7f0,854,8670,0.0,1220.63427734375,-3.1390380859375,7.68194580078125,0.0,1300.35742,0.8834104537963867,11.764705657958984,162.5548746197672,350.59248015198995,True,62,11.66
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00440.nc,input_00440,4f75494bb2d2,848,8059,0.0,1105.449951171875,-1.9027099609375,8.55926513671875,0.0,1208.71423,0.6471151113510132,10.810811042785645,151.09750362567917,319.7582367914217,True,62,10.744
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00468.nc,input_00468,5cc09bd3670c,1023,8666,0.0,1044.5361328125,-2.751220703125,8.29779052734375,0.0,1299.79773,0.48697006702423096,8.69565200805664,162.47516417135938,250.40250975540772,True,62,13.739
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00484.nc,input_00484,10a863d3431e,891,8119,0.0,1065.675537109375,-1.93389892578125,8.4901123046875,0.0,1217.71191,3.828192949295044,10.0,152.2297529417151,293.3601185090381,True,62,12.869
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00489.nc,input_00489,151bca5104c4,844,8322,0.0,1206.3243408203125,-1.846435546875,8.61456298828125,0.0,1248.16113,1.1553394794464111,11.764705657958984,156.020714553571,350.59248015198995,True,62,11.605
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00494.nc,input_00494,ecc890b367c8,696,7482,0.0,1223.404541015625,-1.572021484375,8.4520263671875,0.0,1122.1792,1.508211612701416,14.285714149475098,140.29122254380496,431.2721193856537,True,62,8.537
