run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_04455,b16ba3399c71,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04455__83ab2c1eed2adde4.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04455.nc,10,1681,0.6,0.7648393511772156,12.903225898742676,499.3451843261719,8.2620849609375,189.72368188237039
input_04456,4cedf6740130,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04456__b0c9897a1db435da.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04456.nc,10,1672,0.6,0.5532443523406982,10.810811042785645,412.4228820800781,8.6767578125,188.92866769541877
input_04469,37004c3bb16c,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04469__4e6c1b846aa8aff2.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04469.nc,10,1749,0.6,0.5275176763534546,10.810811042785645,412.4228820800781,7.63519287109375,195.5928507302713
input_04479,37623469a78f,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04479__bfb597676efb2c11.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04479.nc,10,1513,0.6,0.4609825909137726,16.0,626.4285278320312,8.24456787109375,175.36305372201917
input_04500,6f5309ccb8b1,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04500__b8c22a96eb11d26f.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04500.nc,10,1776,0.6,0.675102949142456,10.810811042785645,412.4228820800781,7.82049560546875,197.8378169493737
input_04505,01ed18a0ccf5,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04505__bcb52330227407fc.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04505.nc,10,1763,0.6,0.5589667558670044,10.0,378.37469482421875,7.7296142578125,196.7306938648383
input_04590,8d17b2139c1c,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04590__596a010ab7798616.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04590.nc,10,1708,0.6,1.1260428428649902,11.764705657958984,452.1927490234375,7.98406982421875,192.0902509000781
input_02347,145416e37120,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02347__724268a1770c5439.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02347.nc,10,1779,0.6,0.7388811111450195,8.69565200805664,322.9681396484375,8.01995849609375,198.1095884375098
input_04604,5c7aab1d89dd,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04604__d0aecdf388e509eb.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04604.nc,10,1715,0.6,1.0494096279144287,10.810811042785645,412.4228820800781,8.61419677734375,192.66005275039933
input_04614,cd3fd21c4eb8,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04614__47d560cb552b3ca4.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04614.nc,10,1782,0.6,0.8520155549049377,10.810811042785645,412.4228820800781,8.1046142578125,198.43272483871556
input_04675,28572fbb3126,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04675__43ce8d80bf58f231.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04675.nc,10,1751,0.6,0.5052683353424072,10.810811042785645,412.4228820800781,7.45111083984375,195.7530754706732
input_04691,b98ef9df62b2,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04691__f661e98800c48015.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04691.nc,10,1686,0.6,1.307099991974764,10.81081081081081,412.4228515625,7.9833984375,190.13522805026304
input_04720,34a483039ab4,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04720__82952291cd5c8fb7.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04720.nc,10,1805,0.6,0.7362378835678101,10.0,378.37469482421875,7.9185791015625,200.3570495806665
input_04723,850a026662cc,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04723__561d11fdb81a809d.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04723.nc,10,1815,0.6,0.36527350544929504,10.810811042785645,412.4228820800781,8.2198486328125,201.19748448454754
input_04725,bdba296835ab,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04725__3433c1e28374a437.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04725.nc,10,1713,0.6,3.450125217437744,11.764705657958984,452.1927490234375,8.558837890625,192.51028163476755
