cache_path,run_id,profile_hash,station_id,station_rank,station_label,n_samples,duration_s,depth_target,x_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std,Hs,Tp
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_07,7,h2.85m_x1060.4,1904,1141.7999999999893,2.848876953125,1060.3634033203125,608.170654296875,90.17095823462137,1.2414144000229117,-0.018618248403072357,1.0,0.22930806875228882,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_08,8,h3.42m_x1136.2,1904,1141.7999999999893,3.42254638671875,1136.205810546875,684.0130615234375,105.59973787042748,1.190765194950395,-0.017125491052865982,1.0,0.17703290283679962,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_09,9,h0.00m_x1212.0,1904,1141.7999999999893,0.05,1212.04833984375,759.8555908203125,131.06802651659365,3.3416975272512333,0.0,0.5561974789915967,0.06090978533029556,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_00,0,h7.65m_x525.2,1779,1066.79999999999,7.6475830078125,525.1732177734375,72.98046875,9.32722325339414,1.0117985896007684,-0.010343356989324093,1.0,0.2549039125442505,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_01,1,h7.07m_x596.7,1779,1066.79999999999,7.06622314453125,596.7227172851562,144.52996826171875,18.706957529789047,1.0275566291023677,-0.007613563444465399,1.0,0.269916832447052,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_02,2,h6.46m_x668.3,1779,1066.79999999999,6.46063232421875,668.272216796875,216.0794677734375,28.402377681212265,1.04613050582225,-0.016122398898005486,1.0,0.26744967699050903,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_03,3,h5.78m_x739.8,1779,1066.79999999999,5.78497314453125,739.8216552734375,287.62890625,38.47945678402964,1.0700625514851034,-0.004179912153631449,1.0,0.2613719403743744,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_04,4,h5.02m_x811.4,1779,1066.79999999999,5.02239990234375,811.3711547851562,359.17840576171875,49.11574089410816,1.1023301675213768,-0.008359858766198158,1.0,0.28332412242889404,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_05,5,h4.15m_x881.5,1779,1066.79999999999,4.15203857421875,881.4896850585938,429.29693603515625,60.308606230269675,1.1486544564014107,-0.00874378252774477,1.0,0.2735169231891632,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_06,6,h3.79m_x953.0,1779,1066.79999999999,3.78533935546875,953.0391235351562,500.84637451171875,72.53110877392008,1.172349737363929,-0.004307959228754044,1.0,0.25564438104629517,1.037599802017212,11.764705657958984
